ProductName,Category,SubCategory
onion  loose ,0,0
potato,0,0
tomato   hybrid  loose ,0,0
tomato   local  loose ,0,0
carrot   orange  loose ,0,5
ladies finger  loose ,0,12
ridge gourd,0,25
coccinia  loose ,0,26
palak    g ladies finger    g cucumber  kg capsicum green    g bottle gourd  pc,0,28
radish   white  loose ,0,5
brinjal   bottle shape  loose ,0,12
methi venthaya keerai   cleaned  without roots,0,28
garlic  loose ,0,35
ginger  loose ,0,35
brinjal bottle shape     g   cauliflower   pc   cabbage   pc,0,12
carrot   ooty  loose ,0,5
fresho palak   without root     gm   amul malai paneer     gm,0,28
chilli   green long  medium  loose ,0,35
curry leaves,0,41
bitter gourd  loose ,0,25
mint leaves   cleaned  without roots,0,28
brinjal   varikatri  loose ,0,12
amla  loose ,0,43
beans   broad  loose ,0,12
garlic   peeled,0,47
coconut   large,0,48
drumstick moringa,0,25
garlic   organically grown  loose ,0,42
pomegranate   peeled,0,56
amaranthus   red cleaned  without roots,0,28
beans   cluster  loose ,0,12
colocasia  loose ,0,5
watermelon   organically grown  loose ,0,64
snake gourd,0,25
pumpkin   organically grown  loose ,0,42
beetroot   organically grown  loose ,0,42
bitter gourd   organically grown  loose ,0,42
pineapple,0,71
dill leaves,0,41
sambar onion   peeled  small onion ,0,47
amaranthus   green cleaned  without roots,0,28
green peas   peeled,0,47
cabbage   organically grown  loose ,0,42
pumpkin   disco,0,25
mint   organically grown,0,42
chilli   bajji  mild  loose ,0,35
lemon grass,0,41
farm eggs   table tray  medium  antibiotic residue free,1,1
eggs   regular,1,1
chicken breast   boneless  antibiotic residue free    to   pcs,1,34
chicken breast   boneless  antibiotic residue free    to   pcs,1,34
chicken curry cut without skin     g   chicken breast   boneless     g,1,34
chicken curry cut without skin     g   mutton   curry cut     g,1,34
chicken curry cut without skin     g   chicken drumstick without skin     g,1,34
chicken   kg   bb royal biryani basmati rice   extra long   kg pouch,1,34
fresho meat chicken curry cut without skin  kg   everest chicken masala    g,1,34
fresho chicken curry cut without skin   kg   kara coconut milk   classic     ml,1,34
chicken curry cut without skin     g   chicken seekh kabab nawabi     g,1,34
chicken curry cut without skin     g   sardine fish large whole cleaned     g,1,34
chicken curry cut without skin     g   chicken seekh kabab malai n cheese     g,1,34
chicken curry cut without skin     g   mutton seekh kabab regular     g,1,34
chicken curry cut without skin   mutton   curry cut   rohu fish large curry cut,1,34
chicken curry cut   with skin  antibiotic residue free        pcs,1,34
mutton   curry cut  from whole carcass antibiotic residue free  growth hormone free       pcs,1,68
mutton   curry cut  antibiotic residue free  growth hormone free    to   pcs,1,68
chicken breast   boneless     g   chicken drumstick without skin     g,1,34
chicken   mince  antibiotic residue free,1,34
rohu fish large   curry cut bengali cut with head   tail  preservative free,1,72
rohu cut pieces   preservative free      pcs,1,72
chicken liver   antibiotic residue free     to    pcs,1,34
chicken breast   boneless     g   chicken seekh kabab regular     g,1,34
chicken breast   boneless     g   chicken seekh kabab malai n cheese     g,1,34
chicken leg   without skin  antibiotic residue free      pcs,1,34
chicken leg   without skin,1,34
chicken drumstick   without skin  antibiotic residue free      pcs,1,34
chicken drumstick   without skin  antibiotic residue free    to    pcs,1,34
basa fish fillet   fresh chilled  preservative free,1,72
chilli chicken pieces   boneless  antibiotic residue free    to   pcs,1,34
chilli chicken pieces   boneless  antibiotic residue free     to    pcs,1,34
chicken   gizzard,1,34
chicken   soup pieces,1,34
mutton   curry cut     g   chicken drumstick without skin     g,1,68
catla fish   large  curry cut bengali cut with head   tail  preservative free        pcs,1,72
mutton   curry cut   kg   bb royal biryani basmati rice   kg pouch,1,68
rohu fish large curry cut  kg  chilli chicken boneless    g  chicken mince    g,1,72
mutton   curry cut     g   chicken seekh kabab nawabi     g,1,68
mutton   curry cut     g   chicken seekh kabab punjabi     g,1,68
mutton   curry cut     g   mutton seekh kabab regular     g,1,68
kolkata bengali pabda fish   whole cleaned,1,72
chicken thigh   boneless without skin  soft   tender,1,34
chicken mixed boneless,1,34
chicken thigh,1,34
chicken thigh with bone   antibiotic residue free  growth hormone free,1,34
chicken biryani cut  kg    chicken chilli pieces boneless     g,1,34
basa fillet  kg   malabar prawns    g,1,113
chicken   lollipop  antibiotic residue free     to    pcs,1,34
chicken   lollipop  antibiotic residue free     to    pcs,1,34
white prawns   medium  unpeeled        pcs,1,115
chicken   biryani cut     to    pcs,1,34
white prawns   jumbo  peeled   deveined        pcs,1,115
kolkata bengali tengra fish   whole cleaned,1,72
fish   katla  head,1,72
kolkata bengali hilsa fish   cut pieces  large,1,104
lush hariyali chicken tikka   fresh   juicy  marinated  ready to cook,1,113
tandoori chicken   fresh   juicy  marinated  ready to cook,1,113
kolkata bengali chitol peti fish,1,72
chicken malai tikka   fresh   juicy  marinated  ready to cook,1,113
mutton   biryani pieces  antibiotic residue free  growth hormone free     to    pcs,1,68
mutton   biryani pieces     to    pcs,1,68
basa cubes   boneless  fresh   flavourful,1,72
kolkata bengali saral puti fish   whole  uncleaned,1,72
tilapia fish   curry cut,1,104
desi rohu fish steak   fresh   juicy  marinated  ready to cook,1,113
chicken   thigh boneless  without skin,1,34
kolkata bengali kachki fish   whole  uncleaned,1,72
kolkata bengali kachki fish   whole uncleaned,1,72
peri peri chicken wings   fresh   juicy  marinated  ready to cook,1,113
chicken drumsticks   with skin  fleshy   tender,1,34
peri peri prawns   fresh   juicy  marinated  ready to cook,1,113
roopchanda fish   curry cut,1,72
bbq pepper chicken cubes   fresh   juicy  marinated  ready to cook,1,113
mutton goatkid   curry cut  from whole carcass  tender   juicy,1,68
mutton goatkid   curry cut  from whole carcass    to   pcs,1,68
mixed chicken pieces   boneless  antibiotic residue free     to    pcs,1,34
kolkata bengali koi fish   whole cleaned,1,72
kolkata bengali koi fish   whole cleaned      pcs,1,72
mutton paya   antibiotic residue free  growth hormone free  set of  ,1,68
mutton lamb   boneless  perfect for curries  fresh   tender     to    pcs,1,68
shahi mughlai plater,1,113
chicken seekh kabab malai n cheese,1,124
creamy afghani chicken tikka   fresh   juicy  marinated  ready to cook,1,113
kolkata bengali pabda fish   whole  uncleaned,1,72
kolkata bengali parshe fish   whole cleaned      pcs,1,104
mutton goat kid   leg pieces  fresh   tender,1,68
chicken seekh kabab punjabi,1,124
honey mustard fish   fresh   juicy  marinated  ready to cook,1,113
mutton lamb   biryani pieces    to   pcs,1,68
mix party plater,1,113
mutton fat,1,68
tandoori chicken wings   fresh   juicy  marinated  ready to cook,1,113
amritsari achari fish tikka   fresh   juicy  marinated  ready to cook,1,113
amritsari achari chicken tikka   fresh   juicy  marinated  ready to cook,1,113
atlantic salmon fish,1,104
chicken hariyali lollypop   fresh   juicy  marinated  ready to cook,1,113
peri peri chicken drumstick   fresh   juicy  marinated  ready to cook,1,113
chicken seekh kabab lime n pudina,1,124
bbq pepper exotic whole chicken wings with skin   fresh   juicy  marinated  ready to cook,1,113
mutton goatkid   boneless  perfect for curries    to    pcs,1,68
kolkata bengali chara pona fish   whole cleaned,1,72
kolkata bengali chara pona   whole cleaned,1,72
mutton goat kid   biryani pieces  juicy   tender    to   pcs,1,68
kolkata bengali bata fish   whole  uncleaned,1,72
mutton paya  legs   cleaned  for curry   soup,1,68
classic hariyali rohu fish steak   fresh   juicy  marinated  ready to cook,1,113
pangas  basa fish   curry cut cubes  fresh   flavourful,1,72
exotic international plater,1,113
mutton goatkid   rewaji  fresh   flavourful,1,68
catla fish   steaks  fresh   flavourful,1,72
mutton lamb   curry cut  from whole carcass  fresh   tender    to   pcs,1,68
catla cut pieces  without head preservative free,1,72
prawns peeled   deveined    g   peri peri prawns    g,1,113
bbq pepper fish   fresh   juicy  marinated  ready to cook,1,113
rohu steaks fish   large  fresh   flavourful,1,72
chicken burger patty   crunchy outside  juicy inside  with natural ingredients  no preservatives,1,113
mackerel fish whole cleaned  kg   honey mustard fish    g,1,113
white prawns   fresh  peeled   de veined,1,72
white prawns   peeled  tail on,1,115
crispy fish fillet   crunchy outside  juicy inside  with natural ingredients  no preservatives,1,113
tandoori catla fish steak   fresh   juicy  marinated  ready to cook,1,113
mutton goat kid   ribs chop  fresh   flavourful     to    pcs,1,68
mutton goat kid   ribs chop  fresh   tender,1,68
desi catla steak   fresh   juicy  marinated  ready to cook,1,113
breaded torpedo prawns   crunchy outside  juicy inside  with natural ingredients  no preservatives,1,113
mutton shami kabab,1,124
squid,1,139
chicken   thigh  without skin,1,34
indian salmon fish   gurjali,1,104
white prawns with shell   jumbo whole  uncleaned        pcs,1,115
kolkata bengali ayre fish small   curry cut,1,104
kolkata bengali aar ayre fish   small  curry cut,1,104
mutton goat kid   steak  fresh   tender    to   pcs,1,68
mutton lamb   ribs chop  fresh   tender,1,68
mutton lamb ribs chop,1,68
mutton lamb shanks   fresh  fleshy  juicy   tender pieces,1,68
mutton lamb rack   fresh  fleshy  juicy   tender pieces,1,68
mutton goat kid shanks   fresh  cleaned succulent   tender,1,68
rohu   curry cut  bengali cut without head,1,72
crab   red  cleaned   whole cut,1,139
prawns dvc   medium,1,150
fresho mutton lamb steak   tender   juicy,1,68
mutton lamb steak   tender   juicy     to    pcs,1,68
crispy fish finger   crunchy outside  juicy inside  with natural ingredients  no preservatives,1,113
white pomfret fish medium   whole cleaned  preservative free    to   pcs,1,104
mutton lamb neck,1,68
malabar style pomfret steak   fresh   juicy  marinated  ready to cook,1,113
norwegian salmon   portions skin on,1,150
kolkata bele fish   whole cleaned,1,72
kolkata bengali galda fish   processed small,1,115
kolkata bengali bhola fish   small whole  uncleaned,1,72
kolkata bengali japani puti fish   whole  uncleaned,1,72
tandoori pomfret whole   pre marinated  ready to cook,1,113
kolkata bengali hilsa fish   medium,1,104
kolkata bengali bhola small   whole cleaned      pcs,1,72
bele fish whole b,1,72
kolkata bengali bele fish   whole cleaned,1,72
kolkata bengali japani puti fish   whole cleaned,1,72
crispy chicken pops   crunchy outside  juicy inside  with natural ingredients  no preservatives,1,113
crispy chicken supreme   juicy texture  with natural ingredients  no preservatives,1,113
crispy chicken wings   juicy texture  with natural ingredients  no preservatives,1,113
chicken   drumstick  with skin,1,34
yellofin tuna steaks,1,104
king fish cobia cubes,1,104
king fish cobia steaks,1,104
fish chettinad cubes   fresh   juicy  marinated  ready to cook,1,113
squid   medium,1,139
atta godihittu   whole wheat,2,2
rice akki   raw  sona masoori        months old,2,8
rice akki   raw  sona masoori,2,8
cumin jeera jeerige   whole,2,13
sun lite   sunflower refined oil,2,15
chana dal kadale bele,2,19
maida,2,20
green moong whole hesaru kaalu   sabut,2,19
poha avalakki aval chivda thick   flattened   beaten rice   makers breakfast    teatime snacks,2,22
urad dal uddina bele   split,2,23
mustard sasive rai   small,2,13
organic   almond badam,2,24
bansi sooji,2,20
organic   brown sugar sakkare,2,29
besan fine kadale hittu,2,20
rice   flour,2,30
moong dal hesaru bele,2,19
idli rice,2,31
atta sharbati      mp whole wheat  rotis stay softer for longer,2,2
superior mp sharbati atta godihittu   fortified,2,2
urad   whole gota,2,23
gold   pro healthy lifestyle edible oil,2,37
mustard sasive rai   big,2,13
avalakki  medium   flattened   beaten rice   makers breakfast    teatime snacks,2,22
sooji   ordinary    kg   besan flour    kg   maida    kg,2,20
sooji   ordinary    kg   besan flour    kg   maida   kg,2,20
organic   sugar sakkare,2,29
chana   brown kadale kaalu,2,19
organic jaggery bella powder,2,29
red chilli with stem     gm   coriander seeds     gm   cumin   whole     gm,2,13
coriander seeds kottambari beeja,2,13
coriander   dhania seeds,2,13
chiroti sooji   kg   ordinary sooji   kg   bansi sooji   kg,2,20
cardamom green elakki,2,40
organic   cardamom green elakki,2,40
black pepper kari menasu,2,13
tamarind imli   deseeded,2,13
phool makhana,2,13
white thick poha   high in fibre  for breakfast   evening tea,2,22
organic   sona masoori raw rice akki,2,45
organic   sona masoori raw rice,2,45
rice akki   dosa,2,8
idli   sooji,2,20
idli sooji rava,2,20
rice   idli   kg   urad gota   whole   kg   fried gram bengal gram     gm,2,31
roasted sooji rava,2,20
almond badam   californian  giri,2,46
organic   sona masoori raw rice    kg   brown sugar   kg  toor dal   kg,2,45
sabudana   white  medium,2,22
olive oil for indian cooking   frying   baking,2,50
organic   sona masoori raw rice     kg   toor dal  kg   sugar  kg,2,51
cashew kaju whole    gm   raisins indian    gm almond californian  giri    gm,2,53
cashew godambi   split,2,53
jaggery bella round,2,54
cashew godambi   whole,2,53
organic   chana brown kadale kaalu,2,51
wheat dalia lapsi rava,2,20
organic   moong dal hesaru bele  unpolished,2,51
organic   brown rice   kg   organic   tur toor dal  kg   organic   sugar  kg,2,51
bb royal idli rice   urad dal   dosa rice  each  kg ,2,8
cow desi ghee tuppa,2,57
cashew kaju whole small w       g   raisins kishmish   indian    g,2,52
bbpopular cashew whole   almond californian giri     g    bbroyal dry dates    g,2,53
organic   walnut kernels akharot,2,24
organic walnut kernels akharot,2,24
white peas bili batani,2,23
poha avalakki aval chivda   thick  x kg   peanuts   raw  kg,2,22
peas matar   green,2,23
bb popular almond badam   californian  giri     gm   bb royal honey   kg,2,46
organic   poha medium,2,45
basmati rice basmati akki   rozana gold,2,59
bb royal red chilli lal mirch   gm   coriander dhania seeds    gm,2,13
bb popular channa dal   kg   urad dal   split   kg bb royal rice   dosa   kg,2,19
organic   idly idli rice akki,2,45
organic   idly idli rice,2,45
organic   ragi flour ragi hittu,2,62
organic ragi flour,2,62
green moong   split,2,19
organic   chana dal channa unpolished,2,51
raisins ona drakshi   indian,2,63
jaggery bella   kolhapuri,2,54
bbroyal pista kernel  dry dates     g   bbpopular cashew raisins almond     g ,2,52
jaggery bucket,2,54
til ellu   white,2,13
bbpopular almond californian  giri   raisins indian   bbroyal dry dates      gm ,2,46
organic   green moong whole hesaru kaalu,2,51
palakkad red matta boiled rice   unda,2,31
anjeer figs atti hannu,2,52
new rice akki   sona masoori,2,8
fortune everyday basmati rice   kg    rice bran oil  x  l pouch,2,59
organic   brown rice,2,45
organic brown rice,2,45
organic brown rice akki,2,45
fennel saunf sompu   small,2,13
bbroyal cashew whole medium w       g  almond jumbo    g  bbpopular raisins    g,2,53
walnut akhrot  kernels,2,52
organic   poha   kg   organic   raw peanuts     gm,2,45
organic   foxtail millet   italian  thinai rice,2,62
rajma capparadavare   kashmiri,2,23
ragi flour ragi hittu,2,30
kalonji mangraila,2,13
pista kernel   plain     gm   cashew whole     gm   almond   californian     gm,2,52
sona masoori raw rice akki,2,8
organic   turmeric powder arisina pudi,2,40
organic   turmeric powder,2,40
basmati rice basmati akki   super,2,59
bbroyal almond  jumbo   bbpopular cashew split  small indian raisins  each    g ,2,52
refined sunflower oil   trans fat free  healthy cooking oil,2,15
urad gota   whole,2,23
black til ellu sesame seeds,2,13
organic tamarind hunisehannu,2,40
organic sugar,2,29
organic sugar sakkare,2,29
cardamom elaichi   black,2,13
biryani basmati rice basmati akki   extra long,2,59
biryani basmati rice   extra long,2,59
brown chana,2,19
urad   black  whole sabut,2,23
organic   rice flour,2,84
organic   rice flour akki hittu,2,84
dry dates kharjura   chuwara  kharik,2,52
fried gram bengal gram,2,23
green moong   whole,2,19
organic   urad whole  gota  unpolished,2,51
organic   urad whole  gota ,2,51
basmati rice basmati akki   premium,2,59
organic   sooji rawa,2,84
pista   california  roasted   salted,2,52
chana dal,2,19
gingelly sesame cooking oil,2,57
sesame gingelly cooking oil   organic cold pressed  for stir fry recipes  salad dressing,2,57
    less calories sugar sakkare,2,54
    less calories sugar,2,91
jaggery   square,2,54
kashmiri chilly powder,2,93
coriander dhania powder,2,93
thick poha avalakki   flattened   beaten rice   makers breakfast    teatime snacks,2,22
soya chunks,2,55
besan kadale hittu,2,20
seeds   sabja,2,95
aval poha red thick   flattened   beaten rice   makers breakfast    teatime snacks,2,22
organic   anjeer figs atti hannu,2,24
organic   besan kadale hittu,2,84
organic suji,2,84
nature s super foods   ragi flour ragi hittu,2,30
almonds   roasted   salted,2,46
organic red chilli   whole,2,40
tasty refined cooking oil   blended rice bran   corn oil   pro fitness conscious,2,37
organic jowar sorghum millet,2,62
iodized crystal salt uppu,2,60
kasuri methi whole   enhances flavour,2,13
kasuri methi   enhances flavour,2,13
organic   ponni raw rice akki,2,45
kashmiri rajma capparadavare,2,23
raisins ona drakshi   netal,2,63
green peas ona batani,2,23
steam rice   kolam,2,31
organic   black pepper powder,2,40
ragi flour   high source of iron   calcium,2,30
garam masala     g   jeera powder     g,2,105
organic sonamasoori white rice akki,2,45
organic sona masoori white rice akki,2,45
cashew godambi   broken,2,53
broken wheat dalia,2,20
hazelnut,2,52
organic   quinoa,2,45
red chilli powder    g  turmeric haldi powder    g  coriander dhania powder    g,2,93
apricots jardalu,2,52
cashew godambi   roasted   salted,2,53
bengali sona masoor dal mysore bele,2,23
a  desi cow ghee,2,57
organic bilona cow ghee,2,117
cow ghee tuppa   organic bilona,2,57
dry ginger adarakh,2,13
mustard sasive   small,2,13
nylon til ellu,2,13
rice   baskati,2,31
organic roasted bengal gram whole  chana ,2,51
organic foxtail millet thinai rava,2,62
idli sooji,2,20
organic   cashew godambi broken,2,24
dried fruit   cranberries,2,52
chat masala,2,93
mustard sasive   big,2,13
dates   black  with seeds,2,52
pista   irani  roasted   salted,2,52
red chilli flakes,2,123
organic rajma capparadavare sharmili,2,51
natives chia seeds,2,52
natural jaggery bella powder,2,54
chicken masala powder   exotic  spices blend  for cooking,2,105
chicken masala,2,105
ginger garlic adrak lehsun paste   thick   grainy  no artificial colours,2,92
misri   diamond sugar,2,54
garam masala     g  sabzi masala     g,2,105
sabzi masala,2,105
kasuri methi,2,13
basmati rice   super premium,2,59
malabar black pepper powder,2,93
chhole masala with no garlic   onion   adds flavour   aroma,2,105
marathi moggu,2,13
amritsari chhole masala,2,105
fennel delight,2,95
madrasi saunf mouth freshener   helps boost immunity   digestion,2,95
macadamia nuts,2,52
refined olive oil,2,50
garlic paste,2,92
garlic paste   no added colours,2,92
meat masala powder   exotic  spices blend  for cooking,2,105
tit bit mouth freshener   helps boost immunity   digestion  rich in vitamin c,2,95
wheat maida   refined   bleached,2,84
ginger paste   thick   grainy texture  aroma protected,2,92
spanish corn   roasted   salted,2,52
crispy dal mukhwas mouth freshener   helps boost immunity   digestion,2,95
chocolaty mix mouth freshener   helps boost immunity   digestion,2,95
chicken tandoori masala,2,93
paneer masala,2,93
pani puri masala,2,93
coconut oil   cold pressed  organic  great for skin  hair  improves metabolism,2,57
whole wheat flour,2,84
white sesame oil,2,57
moong split   washed,2,51
panchrangi dal,2,51
jammu rajma capparadavare,2,51
brown sugar sakkare,2,29
organic   red rice flour akki hittu,2,84
olive oil   extra virgin,2,50
jeera   powder,2,93
olive oil   extra light,2,50
peri peri seasoning,2,123
organic   mustard sasive rai big,2,40
jaggery   rich in iron  treats anemia,2,54
pav bhaji masala   adds flavour   aroma,2,105
organic   extra virgin olive oil,2,57
chana masala   adds flavour   aroma to dishes,2,105
certified organic sesame oil  ,2,153
rice   ponni  boiled,2,31
boiled rice beyisida akki   rajabogham deluxe,2,31
organic coconut oil,2,57
green mung,2,19
kashmiri rajma masala,2,105
organic raw jackfruit flour   may reduce blood sugar levels,2,84
kitchen king masala,2,93
pav bhaji masala,2,93
awadhi kadhai veg masala,2,105
olive pomace oil,2,50
dal makhani masala   enhances flavour,2,105
nature s superfoods multi millet mix   rich in dietary fibre,2,30
nature s superfoods gluten free flour   rich in dietary fibre  protein  magnesium   iron,2,30
ponni raw rice akki   super premium,2,8
atta with   multigrains high fibre and high protein soft rotis,2,2
multigrain atta   fortified,2,2
atta with   multigrains  high fibre   high protein soft rotis,2,2
masala   biryani,2,105
green      natural made from stevia,2,91
organic   cashew godambi whole bold,2,24
organicjaljiramasala,2,40
arhar toor dal or yellow pigeon peas,2,51
urad white whole gota   rich source of vitamin b complex,2,51
organic   kodo millet varagu rice flour akki hittu,2,62
cassia   split,2,13
rajma chitra,2,23
organic   little millet samai rice flour akki hittu,2,62
organic fennelseeds,2,40
secret schezwan fried rice masala,2,105
kurva boiled rice,2,31
nature s super foods organic urad dal split uddina bele,2,51
black pepper kali mirch        natural,2,40
chana besan   best for indian snacks   dishes,2,84
organic raw virgin coconut oil   healthiest oil in the world,2,57
himalayan pink rock salt   for daily use  no chemicals,2,40
moong whole   high nutritional value   rich in protein,2,51
mustard oil   cold pressed  pure kachi ghani       natural,2,57
organic barley,2,45
awadhi kadhai chicken masala,2,105
long grain rice,2,59
organic sweet potato flour   good for digestive health   blood sugar management,2,84
green mukhwas mouth freshener   helps boost immunity   digestion,2,95
ice cream mukhwas mouth freshener   helps boost immunity   digestion,2,95
tini mini mouth freshener   helps boost immunity   digestion,2,95
mini mints mouth freshener,2,95
green magic mouth freshener,2,95
raisins ona drakshi   afghan,2,63
cocktail candy,2,95
mazedar mango,2,95
bajra flour,2,84
kashmiri mirch powder   traditionally sundried   cleaned,2,93
soybean flour,2,84
turmeric powder arisina pudi,2,40
tea,3,3
tender coconut water   no added sugar  flavours,3,9
tea   natural care,3,3
rich   flavourful tea,3,3
assam teas with gently rolled aromatic long leaves  rich   aromatic chai  black tea,3,3
sunrise rich aroma,3,16
sunrise instant coffee   chicory mix  rich in aroma   flavour,3,16
sunrise instant coffee,3,16
black soft drink   max taste  zero sugar diet ,3,21
cold extracted juice   valencia orange,3,44
emperia premium tea  kg bb royal refined sugar  sulphurless   kg,3,3
fruit power juice   litchi,3,9
fruit power   litchi,3,9
grand filter coffee,3,61
filter coffee   grand  rich   aromatic,3,61
cold extracted juice   sugarcane,3,44
cold extracted juice   basics  sugarcane,3,44
apple carrot beetroot juice   cold pressed  no added sugar  preservative free,3,44
kadak tea,3,3
instant drink mix   lemon,3,90
cold extracted juice   mixed fruit   lt   sugarcane   lt,3,44
